اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
دوار المدينة الرياضية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,دوار المدينة الرياضية,31.9855,35.8977
دوار المدينة المنورة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوار المدينة المنورة,31.9911,35.8683
دوار المشاغل,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,دوار المشاغل,31.9933,35.9300
دوار المنطقه الصناعيه,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,دوار المنطقه الصناعيه,31.9452,35.8499
دوار المهباش,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,دوار المهباش,31.9063,35.9591
دوار النزهة,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,دوار النزهة,31.9713,35.9291
دوار الواحة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوار الواحة,31.9911,35.8685
دوار الواحة y,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,دوار الواحة y,31.9889,35.8743
دوار جويعد,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,دوار جويعد,31.9038,35.9017
دوار خلدا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوار خلدا,31.9947,35.8303
دوار خميس,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار خميس,32.0667,36.0659
دوار زمزم,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار زمزم,31.9923,36.0126
دوار صويلح,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,دوار صويلح,32.0219,35.8439
دوار ضاحية الأمير حسن,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,دوار ضاحية الأمير حسن,31.9877,35.9240
دوار فراس,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الحسين,دوار فراس,31.9675,35.9178
دوار معصوم,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار معصوم,32.0783,36.0746
دوار ناعور,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,دوار ناعور,31.8786,35.8312
